TexturesCount: 1088
account_manager_security_level_danger_slategrey,ETC2_RGBA8,216,48,1
account_bt_bg_hl_slategrey,ETC2_RGBA8,648,88,1
apprating_sad_slategrey,ETC2_RGBA8,124,124,1
account_common_bg_slategrey,ETC2_RGBA8,1332,748,1
apprating_smile_slategrey,ETC2_RGBA8,124,124,1
tool_loading_slategrey,ETC2_RGBA8,120,120,1
apprating_star_hightlight_slategrey,ETC2_RGBA8,48,48,1
agreement_sign_warning_slategrey,ETC2_RGBA8,124,124,1
account_bt_bg_nl_slategrey,ETC2_RGBA8,648,88,1
apprating_input_bg_slategrey,ETC2_RGBA8,680,124,1
account_manager_security_level_icon_danger_slategrey,ETC2_RGBA8,24,24,1
tool_close_slategrey,ETC2_RGBA8,84,84,1
tool_frame_bg_slategrey,ETC2_RGBA8,880,480,1
account_switching_mask_slategrey_top,ETC2_RGBA8,1236,116,1
account_manager_switch_icon_slategrey,ETC2_RGBA8,32,32,1
tool_cancel_slategrey,ETC2_RGBA8,336,88,1
account_manager_login_type_icon_slategrey,ETC2_RGBA8,32,32,1
account_manager_userid_icon_slategrey,ETC2_RGBA8,32,32,1
apprating_tick_slategrey,ETC2_RGBA8,124,124,1
apprating_cancel_slategrey,ETC2_RGBA8,336,88,1
account_bt_bg_hl_2_slategrey,ETC2_RGBA8,608,88,1
agreement_sign_close_slategrey,ETC2_RGBA8,84,84,1
agreement_sign_disagree_slategrey,ETC2_RGBA8,336,88,1
